Price,Min_Price,Brand,Model,Year of Manufacture,Kilometer Driven,Địa điểm,Thời gian đăng
33.500.000 đ,29 triệu,GPX,Legend 150S,2020,10000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
8.700.000 đ,6 triệu,Honda,Wave,2009,15000,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",NaN
17.500.000 đ,10 triệu,Kymco,Like Fi,2019,12,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 8 ngày trước
125.000.000 đ,117 triệu,Royal Enfield,Interceptor 650,2020,140000,"Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",Đăng 8 ngày trước
85.000.000 đ,64 triệu,Yamaha,XSR,2024,2000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
20.500 đ,16 triệu,Yamaha,Exciter,2017,17000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
25.000.000 đ,9 triệu,Honda,@,2002,85000,"Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",Đăng 8 ngày trước
29.000.000 đ,18 triệu,Yamaha,FZ,2016,3838,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
31.500.000 đ,27 triệu,Honda,PCX,2015,30000,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 8 ngày trước
26.000.000 đ,22 triệu,Honda,Air Blade,2018,12000,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 8 ngày trước
4.800.000 đ,3 triệu,Suzuki,Hayate,2009,3000,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",NaN
18.500.000 đ,13 triệu,Honda,Air Blade,2013,131153,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 8 ngày trước
12.345.678 đ,50 triệu,Honda,CBR,2023,29000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 8 ngày trước
4.300.000 đ,5 triệu,Yamaha,Mio,2010,123,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
5.200.000 đ,8 triệu,Yamaha,Nozza,2013,65000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
10.500.000 đ,9 triệu,Honda,Wave,2016,1,"Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 8 ngày trước
21.500.000 đ,15 triệu,Yamaha,Grande,2016,25000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
3.200.000 đ,5 triệu,Yamaha,Nouvo,2012,24,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 16 ngày trước
9.700.000 đ,6 triệu,Yamaha,Sirius,2011,2500,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 8 ngày trước
34.000.000 đ,30 triệu,Honda,SH Mode,2016,0,"Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",Đăng 8 ngày trước
22.000.000 đ,23 triệu,Piaggio,Vespa,2015,25000,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",NaN
9.500.000 đ,6 triệu,Honda,Wave,2006,50,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 8 ngày trước
3.900.000 đ,2 triệu,SYM,Attila,2010,36,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",NaN
19.500.000 đ,13 triệu,Hãng khác,Dòng khác,2024,Không có thông tin,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 8 ngày trước
2.900.000 đ,2 triệu,SYM,Attila,2010,10000,"Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",Đăng 8 ngày trước
11.000.000 đ,9 triệu,Honda,Air Blade,2012,4500,"Xã Hòa Sơn, Huyện Hòa Vang, Đà Nẵng",Đăng 8 ngày trước
16.500.000 đ,14 triệu,Honda,Future,2016,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",NaN
18.500.000 đ,16 triệu,Piaggio,Liberty,2016,11122,"Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
18.500.000 đ,13 triệu,Honda,Air Blade,2013,1112,"Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
10.200.000 đ,6 triệu,Kymco,Candy Hi,2016,53546,"Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
9.500.000 đ,6 triệu,Yamaha,Mio,2017,40000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
68.500.000 đ,45 triệu,Yamaha,MT,2020,12000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
20.500.000 đ,16 triệu,Honda,Winner X,2019,12341,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Đăng 8 ngày trước
54.500.000 đ,40 triệu,Piaggio,Sprint,2019,9300,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 8 ngày trước
17.000.000 đ,4 triệu,Yamaha,Sirius,2003,5000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 8 ngày trước
17.500.000 đ,11 triệu,Honda,Cub,1994,16,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 8 ngày trước
15.700.000 đ,12 triệu,Yamaha,Jupiter,2018,12,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 9 ngày trước
19.000.000 đ,20 triệu,Honda,Air Blade,2016,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",NaN
8.500.000 đ,15 triệu,Yamaha,Exciter,2011,9999,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 12 ngày trước
14.800.000 đ,12 triệu,Honda,Dream,1996,123456,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
26.500.000 đ,15 triệu,Yamaha,Exciter,2015,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 9 ngày trước
6.800.000 đ,11 triệu,Honda,Wave,2019,1234,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
35.500.000 đ,26 triệu,Piaggio,Vespa,2016,25,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 9 ngày trước
8.000.000 đ,8 triệu,Piaggio,Liberty,2014,200000,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 9 ngày trước
21.000.000 đ,15 triệu,Yamaha,Exciter,2015,23000,"Xã Hòa Tiến, Huyện Hòa Vang, Đà Nẵng",Đăng 13 ngày trước
34.000.000 đ,27 triệu,Honda,SH Mode,2015,19,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 9 ngày trước
19.800.000 đ,18 triệu,Honda,Vision,2018,28000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 9 ngày trước
2.900.000 đ,3 triệu,SYM,Attila,2011,150000,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 9 ngày trước
19.800.000 đ,16 triệu,Yamaha,Exciter,2017,1221,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",NaN
7.500.000 đ,Price not available,SYM,Husky,2008,100,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 9 ngày trước
45.500.000 đ,12 triệu,Honda,Air Blade,2010,200000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",NaN
40.000.000 đ,40 triệu,Honda,SH,2007,0,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
8.800.000 đ,6 triệu,Yamaha,Sirius,2008,123456,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
4.600.000 đ,4 triệu,SYM,Attila,2013,1234,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
7.800.000 đ,7 triệu,Yamaha,Sirius,2014,1234,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
